feature,coef,HR,se_coef,coef_lower_95,coef_upper_95,p
radiomics_log-sigma-3-mm-3D_glrlm_GrayLevelNonUniformity,-0.6866304865174166,0.5032689869463974,1.0566567662923263,-2.757639692470933,1.3843787194361,0.51581229719935
radiomics_original_gldm_GrayLevelNonUniformity,-2.016138208815583,0.13316874323436378,0.9016669388421994,-3.7833729349967733,-0.24890348263439255,0.02535097686729049
radiomics_wavelet-LHL_ngtdm_Strength,1.6028823762319302,4.967329522240211,0.5267659485190022,0.5704400888526058,2.6353246636112546,0.0023433047551245324
dosiomics_original_shape_MeshVolume,-0.5190413427409267,0.5950907626857422,0.9440327546394462,-2.369311542060379,1.3312288565785257,0.5824477415829885
dosiomics_wavelet-HLH_gldm_GrayLevelNonUniformity,-1.3500589468599926,0.25922497969692915,1.7899962915703034,-4.858387210798044,2.1582693170780596,0.45071446583029506
dosiomics_wavelet-LLH_gldm_GrayLevelNonUniformity,-1.6115218672549452,0.19958364302107967,1.0813404608113724,-3.730910225471181,0.5078664909612904,0.13614532911777025
dosiomics_wavelet-HLL_ngtdm_Coarseness,0.6548915128575578,1.9249336754943926,0.6135945826505941,-0.5477317702464922,1.8575147959616078,0.28583490583102833
Age,-0.8757302557130469,0.41655771493074933,0.43371419414477397,-1.7257944558206166,-0.02566605560547708,0.04347253199062936
N-stage,0.09951481430560316,1.1046348350167658,0.2815603252297223,-0.4523332826200369,0.6513629112312432,0.7237582487228946
Thyroid Dmean (Gy),1.830655780169363,6.237976058500586,0.5959395247159431,0.6626357747621971,2.9986757855765287,0.002127139375905904
